popularity,explicit,principal_artist_followers,acousticness,year,duration_min,energy
84,TRUE,1660193,0.00588,2021,4.204366667,0.611
88,FALSE,73969517,0.185,2021,2.553166667,0.741
88,TRUE,85510742,0.767,2021,4.98165,0.225
78,FALSE,75381,0.276,2021,3.8024,0.583
88,FALSE,27465756,0.691,2021,3.820433333,0.339
81,FALSE,1442402,0.965,2021,4.484433333,0.142
80,FALSE,6957293,0.232,2021,4.8951,0.44
83,TRUE,1475166,0.492,2021,2.066433333,0.512
85,FALSE,1199,0.152,2021,2.191666667,0.976
86,FALSE,84618954,0.0122,2021,4.026516667,0.741
80,TRUE,1660193,0.0918,2021,2.600666667,0.782
80,TRUE,575466,0.103,2021,3.006316667,0.717
86,FALSE,84618954,0.135,2021,3.929433333,0.79
81,FALSE,6957293,0.615,2021,3.60955,0.869
83,TRUE,79123685,0.0635,2021,4.049416667,0.424
82,TRUE,27465756,0.0311,2021,2.395766667,0.526
80,TRUE,21215530,0.0622,2021,3.646683333,0.587
86,TRUE,79123685,0.0503,2021,4.852916667,0.465
84,FALSE,27465756,0.198,2021,2.886,0.575
81,FALSE,84618954,0.769,2021,4.083766667,0.619
89,FALSE,5913394,0.157,2021,3.774433333,0.534
81,TRUE,10015067,0.41,2021,2.765416667,0.536
83,FALSE,2349822,0.227,2021,1.6424,0.617
83,FALSE,1007848,0.639,2021,2.791333333,0.559
87,FALSE,6957293,0.373,2021,2.975333333,0.657
83,TRUE,79123685,0.0618,2021,3.215933333,0.449
83,TRUE,26114237,0.259,2021,3.477766667,0.705
86,FALSE,114675033,0.0451,2021,3.845766667,0.893
83,FALSE,256057,0.0673,2021,3.252,0.883
86,FALSE,963308,0.0000384,2021,2.451033333,0.941
86,TRUE,27465756,0.765,2021,2.932216667,0.443
87,TRUE,27465756,0.335,2021,2.9691,0.664
87,FALSE,84618954,0.0623,2021,3.852066667,0.773
86,FALSE,27465756,0.866,2021,2.544433333,0.272
77,FALSE,932439,0.0513,2021,3.736883333,0.815
78,TRUE,10331515,0.000866,2021,3.942066667,0.727
77,FALSE,6957293,0.0921,2021,3.088,0.884
85,FALSE,84618954,0.0033,2021,4.052266667,0.732
87,FALSE,114675033,0.281,2021,3.464216667,0.859
87,TRUE,84618954,0.274,2021,10.2171,0.518
87,TRUE,26114237,0.0888,2021,2.8771,0.764
88,TRUE,446482,0.426,2021,2.38065,0.641
80,FALSE,6957293,0.417,2021,3.508433333,0.786
88,TRUE,27465756,0.768,2021,4.03355,0.431
88,TRUE,27465756,0.584,2021,3.591766667,0.612
88,FALSE,6774118,0.31,2021,3.997416667,0.595
79,FALSE,6957293,0.59,2021,3.368883333,0.537
87,FALSE,84618954,0.0374,2021,3.673883333,0.67
84,FALSE,35290231,0.00226,2021,2.58305,0.738
80,TRUE,2481327,0.0419,2021,3.868216667,0.541
74,TRUE,5344401,0.213,2021,4.20035,0.61
75,TRUE,79123685,0.228,2021,5.145916667,0.56
83,TRUE,4924694,0.591,2021,3.066666667,0.627
82,FALSE,84618954,0.13,2021,3.929433333,0.792
78,TRUE,79123685,0.181,2021,3.69965,0.438
82,TRUE,26114237,0.304,2021,3.509333333,0.609
82,FALSE,253083,0.000872,2021,3.240383333,0.89
77,TRUE,84618954,0.167,2021,4.751766667,0.715
81,TRUE,7059813,0.451,2021,3.4243,0.393
